User Link,Followers Count,Likes Count,Views Count for Last 5 Videos,Like Count for Last 5 Videos
https://www.tiktok.com/@primeexperts.lv,438,8138,"41.9K, 1671, 14K, 519, 2374","1601, 1601, 54, 54, 588"
https://www.tiktok.com/@elizabetzauere,228.4K,16.2M,"7.8M, 42K, 9659, 2120, 3740","1.2M, 1.2M, 1364, 1364, 174"
https://www.tiktok.com/@jamesbrave64,154.2K,8.3M,"11.5M, 7.1M, 1.1M, 3084, 1791","328.8K, 328.8K, 789.9K, 789.9K, 95.4K"
https://www.tiktok.com/@latviantiktok3,7,65,"170, 277, 314, 222, 269","2, 2, 4, 4, 4"
https://www.tiktok.com/@memetix,1.6M,62.3M,"15.9M, 26.7M, 31.7M, 106.2K, 400.4K","1.4M, 1.4M, 4.7M, 4.7M, 4.7M"
https://www.tiktok.com/@yadventures,37.7K,1M,"8.6M, 1.3M, 1.2M, 24.5K, 16.6K","671.6K, 671.6K, 38K, 38K, 61.6K"
https://www.tiktok.com/@jamesbrave64,154.2K,8.3M,"11.5M, 7.1M, 1.1M, 3088, 1792","328.8K, 328.8K, 789.9K, 789.9K, 95.4K"
https://www.tiktok.com/@davidsbaumanis,251,9649,"1890, 151.8K, 1319, 1034, 2160","104, 104, 7783, 7783, 36"
https://www.tiktok.com/@latviatiktok3,9,6,"320, 194, 444","0, 0, 4, 4, 2"
https://www.tiktok.com/@elizabetzauere,228.4K,16.2M,"7.8M, 42K, 9659, 2122, 3740","1.2M, 1.2M, 1364, 1364, 174"
https://www.tiktok.com/@vinetavanaga,1613,12.3K,"5131, 1264, 11.2K, 586, 419","143, 143, 36, 36, 99"
https://www.tiktok.com/@diona_var,40.7K,1.3M,"302.1K, 127.6K, 13.6K, 74.2K, 11.1K","13.1K, 13.1K, 6589, 6589, 723"
https://www.tiktok.com/@alexstepanovs,51.1K,1.6M,"217.9K, 295.6K, 298.4K, 73.3K, 44.8K","21.9K, 21.9K, 26.8K, 26.8K, 27.8K"
https://www.tiktok.com/@isilisikdemir,1.2M,43.9M,"74.7K, 1.9M, 19.5K, 23.6K, 19K","4572, 4572, 84.9K, 84.9K, 1890"
https://www.tiktok.com/@travelwithkkrista,20.2K,584.8K,"4402, 14.3K, 2175, 14.7K, 12.3K","113, 113, 290, 290, 118"
https://www.tiktok.com/@masaki_nakagawa_official,34.7K,403.5K,"309.6K, 407.7K, 425.8K, 14K, 11.5K","19.2K, 19.2K, 27.9K, 27.9K, 26.1K"
